Id : 430  County Median Age
B01002001E001001                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Autauga County, AL                                                   NSA  Annual     17-Mar-2022  
B01002001E031181                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Webster County, NE                                                   NSA  Annual     17-Mar-2022  
B01002001E031183                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Wheeler County, NE                                                   NSA  Annual     17-Mar-2022  
B01002001E031185                        Estimate, Median Age by Sex, Total Population (5-year estimate) in York County, NE                                                      NSA  Annual     17-Mar-2022  
B01002001E032001                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Churchill County, NV                                                 NSA  Annual     17-Mar-2022  
B01002001E032003                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Clark County, NV                                                     NSA  Annual     17-Mar-2022  
B01002001E032005                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Douglas County, NV                                                   NSA  Annual     17-Mar-2022  
B01002001E032007                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Elko County, NV                                                      NSA  Annual     17-Mar-2022  
B01002001E032009                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Esmeralda County, NV                                                 NSA  Annual     17-Mar-2022  
B01002001E032011                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Eureka County, NV                                                    NSA  Annual     17-Mar-2022  
B01002001E032013                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Humboldt County, NV                                                  NSA  Annual     17-Mar-2022  
B01002001E032015                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Lander County, NV                                                    NSA  Annual     17-Mar-2022  
B01002001E032017                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Lincoln County, NV                                                   NSA  Annual     17-Mar-2022  
B01002001E032019                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Lyon County, NV                                                      NSA  Annual     17-Mar-2022  
B01002001E032021                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Mineral County, NV                                                   NSA  Annual     17-Mar-2022  
B01002001E032023                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Nye County, NV                                                       NSA  Annual     17-Mar-2022  
B01002001E032027                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Pershing County, NV                                                  NSA  Annual     17-Mar-2022  
B01002001E032029                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Storey County, NV                                                    NSA  Annual     17-Mar-2022  
B01002001E032031                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Washoe County, NV                                                    NSA  Annual     17-Mar-2022  
B01002001E032033                        Estimate, Median Age by Sex, Total Population (5-year estimate) in White Pine County, NV                                                NSA  Annual     17-Mar-2022  
B01002001E032510                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Carson City, NV                                                      NSA  Annual     17-Mar-2022  
B01002001E033001                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Belknap County, NH                                                   NSA  Annual     17-Mar-2022  
B01002001E033003                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Carroll County, NH                                                   NSA  Annual     17-Mar-2022  
B01002001E033005                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Cheshire County, NH                                                  NSA  Annual     17-Mar-2022  
B01002001E033007                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Coos County, NH                                                      NSA  Annual     17-Mar-2022  
B01002001E033009                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Grafton County, NH                                                   NSA  Annual     17-Mar-2022  
B01002001E033011                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Hillsborough County, NH                                              NSA  Annual     17-Mar-2022  
B01002001E033013                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Merrimack County, NH                                                 NSA  Annual     17-Mar-2022  
B01002001E033015                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Rockingham County, NH                                                NSA  Annual     17-Mar-2022  
B01002001E033017                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Strafford County, NH                                                 NSA  Annual     17-Mar-2022  
B01002001E033019                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Sullivan County, NH                                                  NSA  Annual     17-Mar-2022  
B01002001E034001                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Atlantic County, NJ                                                  NSA  Annual     17-Mar-2022  
B01002001E034003                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Bergen County, NJ                                                    NSA  Annual     17-Mar-2022  
B01002001E034005                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Burlington County, NJ                                                NSA  Annual     17-Mar-2022  
B01002001E034007                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Camden County, NJ                                                    NSA  Annual     17-Mar-2022  
B01002001E034009                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Cape May County, NJ                                                  NSA  Annual     17-Mar-2022  
B01002001E034011                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Cumberland County, NJ                                                NSA  Annual     17-Mar-2022  
B01002001E034013                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Essex County, NJ                                                     NSA  Annual     17-Mar-2022  
B01002001E034015                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Gloucester County, NJ                                                NSA  Annual     17-Mar-2022  
B01002001E034017                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Hudson County, NJ                                                    NSA  Annual     17-Mar-2022  
B01002001E034019                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Hunterdon County, NJ                                                 NSA  Annual     17-Mar-2022  
B01002001E034021                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Mercer County, NJ                                                    NSA  Annual     17-Mar-2022  
B01002001E034023                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Middlesex County, NJ                                                 NSA  Annual     17-Mar-2022  
B01002001E034025                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Monmouth County, NJ                                                  NSA  Annual     17-Mar-2022  
B01002001E034027                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Morris County, NJ                                                    NSA  Annual     17-Mar-2022  
B01002001E034029                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Ocean County, NJ                                                     NSA  Annual     17-Mar-2022  
B01002001E034031                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Passaic County, NJ                                                   NSA  Annual     17-Mar-2022  
B01002001E034033                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Salem County, NJ                                                     NSA  Annual     17-Mar-2022  
B01002001E034035                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Somerset County, NJ                                                  NSA  Annual     17-Mar-2022  
B01002001E034037                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Sussex County, NJ                                                    NSA  Annual     17-Mar-2022  
B01002001E034039                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Union County, NJ                                                     NSA  Annual     17-Mar-2022  
B01002001E034041                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Warren County, NJ                                                    NSA  Annual     17-Mar-2022  
B01002001E035001                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Bernalillo County, NM                                                NSA  Annual     17-Mar-2022  
B01002001E035003                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Catron County, NM                                                    NSA  Annual     17-Mar-2022  
B01002001E035005                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Chaves County, NM                                                    NSA  Annual     17-Mar-2022  
B01002001E035006                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Cibola County, NM                                                    NSA  Annual     17-Mar-2022  
B01002001E035007                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Colfax County, NM                                                    NSA  Annual     17-Mar-2022  
B01002001E035009                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Curry County, NM                                                     NSA  Annual     17-Mar-2022  
B01002001E035011                        Estimate, Median Age by Sex, Total Population (5-year estimate) in De Baca County, NM                                                   NSA  Annual     17-Mar-2022  
B01002001E035013                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Dona Ana County, NM                                                  NSA  Annual     17-Mar-2022  
B01002001E035015                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Eddy County, NM                                                      NSA  Annual     17-Mar-2022  
B01002001E035017                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Grant County, NM                                                     NSA  Annual     17-Mar-2022  
B01002001E035019                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Guadalupe County, NM                                                 NSA  Annual     17-Mar-2022  
B01002001E035021                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Harding County, NM                                                   NSA  Annual     17-Mar-2022  
B01002001E035023                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Hidalgo County, NM                                                   NSA  Annual     17-Mar-2022  
B01002001E035025                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Lea County, NM                                                       NSA  Annual     17-Mar-2022  
B01002001E035027                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Lincoln County, NM                                                   NSA  Annual     17-Mar-2022  
B01002001E035028                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Los Alamos County, NM                                                NSA  Annual     17-Mar-2022  
B01002001E035029                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Luna County, NM                                                      NSA  Annual     17-Mar-2022  
B01002001E035031                        Estimate, Median Age by Sex, Total Population (5-year estimate) in McKinley County, NM                                                  NSA  Annual     17-Mar-2022  
B01002001E035033                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Mora County, NM                                                      NSA  Annual     17-Mar-2022  
B01002001E035035                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Otero County, NM                                                     NSA  Annual     17-Mar-2022  
B01002001E035037                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Quay County, NM                                                      NSA  Annual     17-Mar-2022  
B01002001E035039                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Rio Arriba County, NM                                                NSA  Annual     17-Mar-2022  
B01002001E035041                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Roosevelt County, NM                                                 NSA  Annual     17-Mar-2022  
B01002001E035043                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Sandoval County, NM                                                  NSA  Annual     17-Mar-2022  
B01002001E035045                        Estimate, Median Age by Sex, Total Population (5-year estimate) in San Juan County, NM                                                  NSA  Annual     17-Mar-2022  
B01002001E035047                        Estimate, Median Age by Sex, Total Population (5-year estimate) in San Miguel County, NM                                                NSA  Annual     17-Mar-2022  
B01002001E035049                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Santa Fe County, NM                                                  NSA  Annual     17-Mar-2022  
B01002001E035051                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Sierra County, NM                                                    NSA  Annual     17-Mar-2022  
B01002001E035053                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Socorro County, NM                                                   NSA  Annual     17-Mar-2022  
B01002001E035055                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Taos County, NM                                                      NSA  Annual     17-Mar-2022  
B01002001E035057                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Torrance County, NM                                                  NSA  Annual     17-Mar-2022  
B01002001E035059                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Union County, NM                                                     NSA  Annual     17-Mar-2022  
B01002001E035061                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Valencia County, NM                                                  NSA  Annual     17-Mar-2022  
B01002001E036001                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Albany County, NY                                                    NSA  Annual     17-Mar-2022  
B01002001E036003                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Allegany County, NY                                                  NSA  Annual     17-Mar-2022  
B01002001E036005                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Bronx County, NY                                                     NSA  Annual     17-Mar-2022  
B01002001E036007                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Broome County, NY                                                    NSA  Annual     17-Mar-2022  
B01002001E036009                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Cattaraugus County, NY                                               NSA  Annual     17-Mar-2022  
B01002001E036011                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Cayuga County, NY                                                    NSA  Annual     17-Mar-2022  
B01002001E036013                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Chautauqua County, NY                                                NSA  Annual     17-Mar-2022  
B01002001E036015                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Chemung County, NY                                                   NSA  Annual     17-Mar-2022  
B01002001E036017                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Chenango County, NY                                                  NSA  Annual     17-Mar-2022  
B01002001E036019                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Clinton County, NY                                                   NSA  Annual     17-Mar-2022  
B01002001E036021                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Columbia County, NY                                                  NSA  Annual     17-Mar-2022  
B01002001E036023                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Cortland County, NY                                                  NSA  Annual     17-Mar-2022  
B01002001E036025                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Delaware County, NY                                                  NSA  Annual     17-Mar-2022  
B01002001E036027                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Dutchess County, NY                                                  NSA  Annual     17-Mar-2022  
B01002001E036029                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Erie County, NY                                                      NSA  Annual     17-Mar-2022  
B01002001E036031                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Essex County, NY                                                     NSA  Annual     17-Mar-2022  
B01002001E036033                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Franklin County, NY                                                  NSA  Annual     17-Mar-2022  
B01002001E036035                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Fulton County, NY                                                    NSA  Annual     17-Mar-2022  
B01002001E036037                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Genesee County, NY                                                   NSA  Annual     17-Mar-2022  
B01002001E036039                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Greene County, NY                                                    NSA  Annual     17-Mar-2022  
B01002001E036041                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Hamilton County, NY                                                  NSA  Annual     17-Mar-2022  
B01002001E036043                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Herkimer County, NY                                                  NSA  Annual     17-Mar-2022  
B01002001E036045                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Jefferson County, NY                                                 NSA  Annual     17-Mar-2022  
B01002001E036047                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Kings County, NY                                                     NSA  Annual     17-Mar-2022  
B01002001E036049                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Lewis County, NY                                                     NSA  Annual     17-Mar-2022  
B01002001E036051                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Livingston County, NY                                                NSA  Annual     17-Mar-2022  
B01002001E036053                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Madison County, NY                                                   NSA  Annual     17-Mar-2022  
B01002001E036055                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Monroe County, NY                                                    NSA  Annual     17-Mar-2022  
B01002001E036057                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Montgomery County, NY                                                NSA  Annual     17-Mar-2022  
B01002001E036059                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Nassau County, NY                                                    NSA  Annual     17-Mar-2022  
B01002001E036061                        Estimate, Median Age by Sex, Total Population (5-year estimate) in New York County, NY                                                  NSA  Annual     17-Mar-2022  
B01002001E036063                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Niagara County, NY                                                   NSA  Annual     17-Mar-2022  
B01002001E036065                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Oneida County, NY                                                    NSA  Annual     17-Mar-2022  
B01002001E036067                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Onondaga County, NY                                                  NSA  Annual     17-Mar-2022  
B01002001E036069                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Ontario County, NY                                                   NSA  Annual     17-Mar-2022  
B01002001E036071                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Orange County, NY                                                    NSA  Annual     17-Mar-2022  
B01002001E036073                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Orleans County, NY                                                   NSA  Annual     17-Mar-2022  
B01002001E036075                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Oswego County, NY                                                    NSA  Annual     17-Mar-2022  
B01002001E036077                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Otsego County, NY                                                    NSA  Annual     17-Mar-2022  
B01002001E036079                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Putnam County, NY                                                    NSA  Annual     17-Mar-2022  
B01002001E036081                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Queens County, NY                                                    NSA  Annual     17-Mar-2022  
B01002001E036083                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Rensselaer County, NY                                                NSA  Annual     17-Mar-2022  
B01002001E036085                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Richmond County, NY                                                  NSA  Annual     17-Mar-2022  
B01002001E036087                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Rockland County, NY                                                  NSA  Annual     17-Mar-2022  
B01002001E036089                        Estimate, Median Age by Sex, Total Population (5-year estimate) in St. Lawrence County, NY                                              NSA  Annual     17-Mar-2022  
B01002001E036091                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Saratoga County, NY                                                  NSA  Annual     17-Mar-2022  
B01002001E036093                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Schenectady County, NY                                               NSA  Annual     17-Mar-2022  
B01002001E036095                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Schoharie County, NY                                                 NSA  Annual     17-Mar-2022  
B01002001E036097                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Schuyler County, NY                                                  NSA  Annual     17-Mar-2022  
B01002001E036099                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Seneca County, NY                                                    NSA  Annual     17-Mar-2022  
B01002001E036101                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Steuben County, NY                                                   NSA  Annual     17-Mar-2022  
B01002001E036103                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Suffolk County, NY                                                   NSA  Annual     17-Mar-2022  
B01002001E036105                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Sullivan County, NY                                                  NSA  Annual     17-Mar-2022  
B01002001E036107                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Tioga County, NY                                                     NSA  Annual     17-Mar-2022  
B01002001E036109                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Tompkins County, NY                                                  NSA  Annual     17-Mar-2022  
B01002001E036111                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Ulster County, NY                                                    NSA  Annual     17-Mar-2022  
B01002001E036113                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Warren County, NY                                                    NSA  Annual     17-Mar-2022  
B01002001E036115                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Washington County, NY                                                NSA  Annual     17-Mar-2022  
B01002001E036117                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Wayne County, NY                                                     NSA  Annual     17-Mar-2022  
B01002001E036119                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Westchester County, NY                                               NSA  Annual     17-Mar-2022  
B01002001E036121                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Wyoming County, NY                                                   NSA  Annual     17-Mar-2022  
B01002001E036123                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Yates County, NY                                                     NSA  Annual     17-Mar-2022  
B01002001E037001                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Alamance County, NC                                                  NSA  Annual     17-Mar-2022  
B01002001E037003                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Alexander County, NC                                                 NSA  Annual     17-Mar-2022  
B01002001E037005                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Alleghany County, NC                                                 NSA  Annual     17-Mar-2022  
B01002001E037007                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Anson County, NC                                                     NSA  Annual     17-Mar-2022  
B01002001E037009                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Ashe County, NC                                                      NSA  Annual     17-Mar-2022  
B01002001E037011                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Avery County, NC                                                     NSA  Annual     17-Mar-2022  
B01002001E037013                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Beaufort County, NC                                                  NSA  Annual     17-Mar-2022  
B01002001E037015                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Bertie County, NC                                                    NSA  Annual     17-Mar-2022  
B01002001E037017                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Bladen County, NC                                                    NSA  Annual     17-Mar-2022  
B01002001E037019                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Brunswick County, NC                                                 NSA  Annual     17-Mar-2022  
B01002001E037021                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Buncombe County, NC                                                  NSA  Annual     17-Mar-2022  
B01002001E037023                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Burke County, NC                                                     NSA  Annual     17-Mar-2022  
B01002001E037025                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Cabarrus County, NC                                                  NSA  Annual     17-Mar-2022  
B01002001E037027                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Caldwell County, NC                                                  NSA  Annual     17-Mar-2022  
B01002001E037029                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Camden County, NC                                                    NSA  Annual     17-Mar-2022  
B01002001E037031                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Carteret County, NC                                                  NSA  Annual     17-Mar-2022  
B01002001E037033                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Caswell County, NC                                                   NSA  Annual     17-Mar-2022  
B01002001E037035                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Catawba County, NC                                                   NSA  Annual     17-Mar-2022  
B01002001E037037                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Chatham County, NC                                                   NSA  Annual     17-Mar-2022  
B01002001E037039                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Cherokee County, NC                                                  NSA  Annual     17-Mar-2022  
B01002001E037041                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Chowan County, NC                                                    NSA  Annual     17-Mar-2022  
B01002001E037043                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Clay County, NC                                                      NSA  Annual     17-Mar-2022  
B01002001E037045                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Cleveland County, NC                                                 NSA  Annual     17-Mar-2022  
B01002001E037047                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Columbus County, NC                                                  NSA  Annual     17-Mar-2022  
B01002001E037049                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Craven County, NC                                                    NSA  Annual     17-Mar-2022  
B01002001E037051                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Cumberland County, NC                                                NSA  Annual     17-Mar-2022  
B01002001E037053                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Currituck County, NC                                                 NSA  Annual     17-Mar-2022  
B01002001E037055                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Dare County, NC                                                      NSA  Annual     17-Mar-2022  
B01002001E037057                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Davidson County, NC                                                  NSA  Annual     17-Mar-2022  
B01002001E037059                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Davie County, NC                                                     NSA  Annual     17-Mar-2022  
B01002001E037061                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Duplin County, NC                                                    NSA  Annual     17-Mar-2022  
B01002001E037063                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Durham County, NC                                                    NSA  Annual     17-Mar-2022  
B01002001E037065                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Edgecombe County, NC                                                 NSA  Annual     17-Mar-2022  
B01002001E037067                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Forsyth County, NC                                                   NSA  Annual     17-Mar-2022  
B01002001E037069                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Franklin County, NC                                                  NSA  Annual     17-Mar-2022  
B01002001E037071                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Gaston County, NC                                                    NSA  Annual     17-Mar-2022  
B01002001E037073                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Gates County, NC                                                     NSA  Annual     17-Mar-2022  
B01002001E037075                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Graham County, NC                                                    NSA  Annual     17-Mar-2022  
B01002001E037077                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Granville County, NC                                                 NSA  Annual     17-Mar-2022  
B01002001E037079                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Greene County, NC                                                    NSA  Annual     17-Mar-2022  
B01002001E037081                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Guilford County, NC                                                  NSA  Annual     17-Mar-2022  
B01002001E037083                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Halifax County, NC                                                   NSA  Annual     17-Mar-2022  
B01002001E037085                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Harnett County, NC                                                   NSA  Annual     17-Mar-2022  
B01002001E037087                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Haywood County, NC                                                   NSA  Annual     17-Mar-2022  
B01002001E037089                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Henderson County, NC                                                 NSA  Annual     17-Mar-2022  
B01002001E037091                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Hertford County, NC                                                  NSA  Annual     17-Mar-2022  
B01002001E037093                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Hoke County, NC                                                      NSA  Annual     17-Mar-2022  
B01002001E037095                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Hyde County, NC                                                      NSA  Annual     17-Mar-2022  
B01002001E037097                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Iredell County, NC                                                   NSA  Annual     17-Mar-2022  
B01002001E037099                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Jackson County, NC                                                   NSA  Annual     17-Mar-2022  
B01002001E037101                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Johnston County, NC                                                  NSA  Annual     17-Mar-2022  
B01002001E037103                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Jones County, NC                                                     NSA  Annual     17-Mar-2022  
B01002001E037105                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Lee County, NC                                                       NSA  Annual     17-Mar-2022  
B01002001E037107                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Lenoir County, NC                                                    NSA  Annual     17-Mar-2022  
B01002001E037109                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Lincoln County, NC                                                   NSA  Annual     17-Mar-2022  
B01002001E037111                        Estimate, Median Age by Sex, Total Population (5-year estimate) in McDowell County, NC                                                  NSA  Annual     17-Mar-2022  
B01002001E037113                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Macon County, NC                                                     NSA  Annual     17-Mar-2022  
B01002001E037115                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Madison County, NC                                                   NSA  Annual     17-Mar-2022  
B01002001E037117                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Martin County, NC                                                    NSA  Annual     17-Mar-2022  
B01002001E037119                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Mecklenburg County, NC                                               NSA  Annual     17-Mar-2022  
B01002001E037121                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Mitchell County, NC                                                  NSA  Annual     17-Mar-2022  
B01002001E037123                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Montgomery County, NC                                                NSA  Annual     17-Mar-2022  
B01002001E037125                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Moore County, NC                                                     NSA  Annual     17-Mar-2022  
B01002001E037127                        Estimate, Median Age by Sex, Total Population (5-year estimate) in Nash County, NC                                                      NSA  Annual     17-Mar-2022  
